time,AHPTp,Bp,A,WUS,CLV,CLV1,CLV3
8.225090,1.913511,0.684100,3.263972,1.000061,0.000000,0.592700,57.442480
8.225749,1.913553,0.684099,3.264075,1.000152,0.000000,0.592233,50.832554
8.227397,1.913659,0.684098,3.264332,1.000381,0.000000,0.591230,44.219820
8.231523,1.913925,0.684094,3.264976,1.000954,0.000000,0.589129,37.600714
8.241850,1.914588,0.684084,3.266582,1.002388,0.000000,0.584907,30.967314
8.267703,1.916240,0.684059,3.270579,1.005976,0.000000,0.576972,24.302307
8.332446,1.920334,0.683993,3.280446,1.014951,0.000000,0.563773,17.568695
8.492442,1.930184,0.683821,3.303966,1.037065,0.000000,0.547488,10.754473
8.825587,1.949532,0.683435,3.349185,1.082811,0.000000,0.544148,4.476408
9.487993,1.983764,0.682720,3.425507,1.172580,0.000000,0.592509,-1.626985
10.718237,2.034828,0.682271,3.527808,1.335263,0.000000,0.803695,-7.612217
12.748430,2.092942,0.685379,3.616124,1.593384,0.000000,1.578991,-12.959728
16.001146,2.144551,0.700273,3.631910,1.985238,0.000000,5.467336,-15.393197
18.657273,2.165981,0.719677,3.580745,2.290274,0.000000,13.211050,-11.400782
21.313400,2.177764,0.744401,3.497886,2.585514,0.000000,21.927562,-5.712637
23.503628,2.183377,0.768389,3.415214,2.823538,0.000000,26.501153,-3.250803
25.693856,2.186812,0.795478,3.324638,3.058071,0.000000,29.291575,-2.302235
28.019708,2.189014,0.827578,3.223309,3.304615,0.000000,31.397905,-1.910373
30.736731,2.190482,0.869416,3.101611,3.591010,0.000000,33.361090,-1.689009
34.017085,2.191394,0.926245,2.953652,3.936937,0.000000,35.316102,-1.526784
37.829845,2.191877,1.001265,2.784162,4.342785,0.000000,37.173299,-1.403366
41.698569,2.192085,1.087760,2.617826,4.762621,0.000000,38.697154,-1.323538
45.089568,2.192165,1.172745,2.478111,5.140140,0.000000,39.806742,-1.262734
48.001969,2.192199,1.253057,2.363180,5.473231,0.000000,40.628732,-1.203712
50.878857,2.192217,1.339483,2.254466,5.811577,0.000000,41.316926,-1.160348
54.123697,2.192227,1.446010,2.137684,6.205656,0.000000,41.962779,-1.128070
57.671458,2.192232,1.574281,2.017060,6.653177,0.000000,42.531637,-1.109963
60.993645,2.192234,1.706435,1.910668,7.089316,0.000000,42.958676,-1.100142
63.808995,2.192235,1.828189,1.825339,7.472613,0.000000,43.277798,-1.069588
66.418064,2.192235,1.949498,1.750094,7.839482,0.000000,43.524676,-1.043131
69.315354,2.192236,2.094266,1.670709,8.260346,0.000000,43.737518,-1.028021
72.687473,2.192236,2.276762,1.583619,8.768269,0.000000,43.918092,-1.022751
76.119062,2.192236,2.478658,1.500577,9.305106,0.000000,44.034439,-1.032299
79.061854,2.192236,2.665270,1.433622,9.781230,0.000000,44.116397,-1.021898
81.593436,2.192236,2.835979,1.379019,10.202090,0.000000,44.180356,-0.996080
84.232758,2.192236,3.024062,1.324909,10.651463,0.000000,44.211729,-0.984216
87.396817,2.192236,3.263085,1.263646,11.203542,0.000000,44.213896,-0.981687
90.932524,2.192236,3.547250,1.199584,11.836089,0.000000,44.174463,-0.994608
94.145040,2.192236,3.820264,1.145159,12.423218,0.000000,44.116933,-1.008078
96.770078,2.192236,4.052996,1.103201,12.910282,0.000000,44.094504,-0.982720
99.241753,2.192236,4.279216,1.065652,13.373704,0.000000,44.056868,-0.967186
102.150509,2.192236,4.552943,1.023764,13.923515,0.000000,43.988662,-0.964294
105.662790,2.192236,4.891693,0.976301,14.591161,0.000000,43.884118,-0.973029
109.185898,2.192236,5.236679,0.931875,15.261585,0.000000,43.751600,-1.001023
112.068517,2.192236,5.519450,0.897725,15.808041,0.000000,43.671596,-0.990877
114.504815,2.192236,5.756420,0.870301,16.266754,0.000000,43.617870,-0.966064
117.151476,2.192236,6.009365,0.841907,16.760259,0.000000,43.536854,-0.960070
120.469404,2.192236,6.316027,0.808226,17.369455,0.000000,43.422336,-0.964039
124.208380,2.192236,6.641907,0.772613,18.039770,0.000000,43.272528,-0.988671
126.778131,2.192236,6.850570,0.749454,18.488476,0.000000,43.206793,-0.968723
129.347882,2.192236,7.044790,0.727284,18.926001,0.000000,43.129151,-0.961423
132.629696,2.192236,7.269984,0.700301,19.466783,0.000000,43.018939,-0.964770
136.471631,2.192236,7.499771,0.670452,20.071881,0.000000,42.872823,-0.988807
139.092513,2.192236,7.635904,0.651083,20.466206,0.000000,42.809041,-0.971550
141.713395,2.192236,7.756308,0.632466,20.844965,0.000000,42.736525,-0.965062
145.044930,2.192236,7.888770,0.609826,21.303513,0.000000,42.635311,-0.969010
148.906514,2.192236,8.017477,0.584945,21.802770,0.000000,42.502495,-0.993769
151.539484,2.192236,8.092489,0.568779,22.123532,0.000000,42.449729,-0.975842
154.172455,2.192236,8.158947,0.553238,22.428700,0.000000,42.388066,-0.969272
157.528646,2.192236,8.233369,0.534306,22.795737,0.000000,42.300749,-0.973198
161.431233,2.192236,8.308197,0.513488,23.192860,0.000000,42.183870,-0.998134
164.080956,2.192236,8.353181,0.500064,23.445168,0.000000,42.142532,-0.980082
166.730680,2.192236,8.394237,0.487197,23.684146,0.000000,42.092157,-0.973477
170.114626,2.192236,8.441784,0.471551,23.970904,0.000000,42.018927,-0.977363
174.050490,2.192236,8.491221,0.454422,24.279935,0.000000,41.917760,-1.002561
176.709860,2.192236,8.521544,0.443476,24.474731,0.000000,41.887718,-0.984027
179.369231,2.192236,8.549676,0.433016,24.658884,0.000000,41.848035,-0.977277
182.775943,2.192236,8.582839,0.420302,24.880102,0.000000,41.787816,-0.981037
186.744578,2.192236,8.617849,0.406418,25.118349,0.000000,41.700695,-1.006482
189.410324,2.192236,8.639408,0.397627,25.267395,0.000000,41.680665,-0.987448
192.076069,2.192236,8.659541,0.389247,25.408154,0.000000,41.650324,-0.980542
195.502783,2.192236,8.683505,0.379053,25.577636,0.000000,41.601376,-0.984166
199.501392,2.192236,8.709002,0.367938,25.760203,0.000000,41.526207,-1.009902
202.170134,2.192236,8.724679,0.360963,25.873563,0.000000,41.514760,-0.990319
204.838876,2.192236,8.739373,0.354326,25.980560,0.000000,41.492290,-0.983255
208.282511,2.192236,8.756995,0.346237,26.109783,0.000000,41.452796,-0.986745
212.308694,2.192236,8.775850,0.337422,26.249111,0.000000,41.387493,-1.012797
214.978065,2.192236,8.787403,0.331938,26.334985,0.000000,41.383194,-0.992669
217.647437,2.192236,8.798259,0.326727,26.416011,0.000000,41.367185,-0.985459
221.105384,2.192236,8.811361,0.320360,26.514206,0.000000,41.335439,-0.988829
